Name,Branch,Age,Education,Income_K,Deposit
"Shields, Kristian",Solon,70,5. Advanced Degree,69,8151.82
"Peck, Hannah",Fairlawn,47,2. HS Grad,58.1,7117.35
"Parker, Claire",Fairlawn,21,4. College Grad,49.7,5751.82
"Sparks, Dylan",Hudson,20,1. < HS Grad,41.4,3162.25
"Sweeten, Michelle",Solon,43,4. College Grad,63.3,5505.66
"Trobiano, Taylor",Akron,55,5. Advanced Degree,81.5,11231.57
"Zanski, Tristin",Kent,21,2. HS Grad,46.5,6838.26
"Petrie, Alyssa",Akron,38,1. < HS Grad,31.8,4689.78
"Vigil Ballew, Tiffany",Akron,30,3. Some College,47.2,4458.96
"Gonzalez, Danielle",Fairlawn,51,4. College Grad,22,4036.69
"Mosqueda-Banuelos, Giovanni",Akron,50,4. College Grad,23.8,3979.44
"Schooler, Marie",Kent,35,2. HS Grad,19,2583.43
"Benavides, Alonso",Fairlawn,51,4. College Grad,21.4,3796.24
"Crowley, Dezmen",Kent,41,4. College Grad,74.4,9432.84
"Foreman, Joseph",Akron,35,2. HS Grad,29.4,4071.96
"Green, David",Fairlawn,37,5. Advanced Degree,190.1,27855.41
"Christy, Ngan",Hudson,32,2. HS Grad,59.2,8283.59
"Miranda, Von",Solon,40,4. College Grad,36.5,3971.65
"Manuel, Hassan",Akron,26,4. College Grad,23.2,3816.27
"Whitehorse, Elias",Twinsburg,43,5. Advanced Degree,66.3,8045.04
"Whisenhunt, Tony",Kent,46,4. College Grad,45,4459.35
"Gossett, Tyler",Fairlawn,33,4. College Grad,58.7,5677.23
"Castellot, Brittany",Fairlawn,26,5. Advanced Degree,71.4,6598.99
"Begay, Amber",Fairlawn,39,4. College Grad,183.7,26978.73
"Galvez, Jimmy",Akron,54,3. Some College,45.6,3506.01
"Hayes, Bryan",Fairlawn,53,3. Some College,82.5,11618.79
"Agbeke, Rio Ahjaney",Kent,43,2. HS Grad,62.2,8992.85
"Tongbua, Lauren",Twinsburg,56,4. College Grad,79.3,8453.46
"Baca, Timothy",Kent,40,2. HS Grad,48.5,5489.11
"Trejo Estrada, Rita",Akron,34,1. < HS Grad,24,3544.04
"Pahlavan, Srinivasa",Fairlawn,23,4. College Grad,68.1,6321.39
"Bustamante, David",Hudson,56,3. Some College,87.3,11233.73
"Aldawoodi, Chiara",Fairlawn,37,4. College Grad,84.8,8281.35
"Timmins, Porfirio",Twinsburg,36,3. Some College,58,5276.89
"Locust, Milena",Akron,48,4. College Grad,79.8,10617.33
"Kalema, Zahmeris",Solon,33,4. College Grad,38.3,3502.38
"Hoffmann, Edward",Kent,29,5. Advanced Degree,215.8,30359.34
"Snorton, Auzjarae",Kent,54,2. HS Grad,53.1,7064.67
"Jouard, Levi",Fairlawn,21,2. HS Grad,44.1,5131.67
"Watts, Corinne",Hudson,63,5. Advanced Degree,111.3,14102.53
"Frost, Christopher",Akron,43,3. Some College,35,2547.36
"Thompson, Landon",Kent,31,3. Some College,105.1,11364.62
